id,artiste,titre,genre,contexte_temporel,contexte_meteo,contexte_activite,contexte_emotionnel,contexte_social,contexte_lieu,bpm_estime,energie,valence,danceability,acousticness,instrumentalness,speechiness,liveness,notes,categorie_energie,groupe_valence,macro_genre,mood_score,mood_category,party_factor,party_category,organic_score,organic_category,sport_suitability,relax_suitability,study_suitability,profil_temporel_emotionnel,profil_temporel_activite,profil_emotionnel_activite,diversity_index,diversity_category,context_popularity_score,popularity_category
6z3HAUZpAyJ0ctsbAwAiw3,M / Robin Scott,Pop Muzik,pop,apres_midi,neutre,detente,romantique,couple,restaurant,124,0.657,0.752,0.615,0.747,0.19,0.1,0.058,8.2,faible,positive,pop_family,0.494064,low_energy,0.404055,chill,0.4685,organic,0.6729,0.4587,0.4991,apres_midi_romantique,apres_midi_detente,romantique_detente,0.09885228571428571,balanced,0.2658774896655393,niche
6WzRpISELf3YglGAh7TXcG,The Weeknd,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),pop,weekend,chaud,cuisine,joyeux,famille,exterieur,116,0.826,0.884,0.715,0.342,0.169,0.106,0.059,8.4,elevee,positive,pop_family,0.7301839999999999,high_energy,0.59059,moderate_party,0.2555,electronic,0.8101,0.2397,0.3659,weekend_joyeux,weekend_cuisine,joyeux_cuisine,0.12690933333333335,diverse,0.2063134160090192,niche
3i8fIJNV0yuC4kXT3SkVBZ,Ariana Grande,Popular,pop,weekend,ensoleille,cuisine,joyeux,famille,exterieur,129,0.81,0.809,0.794,0.399,0.385,0.08,0.322,8.4,elevee,positive,pop_family,0.65529,high_energy,0.64314,moderate_party,0.392,mixed,0.8049000000000001,0.3321,0.4962000000000001,weekend_joyeux,weekend_cuisine,joyeux_cuisine,0.08468780952380954,homogeneous,0.20481022172115748,niche
3j3SfV4hAcR4XjCvW393Gr,Playboi Carti,POP OUT,pop,weekend,ensoleille,fete,joyeux,amis,plage,122,0.768,0.925,0.813,0.418,0.075,0.062,0.171,8.1,moderee,positive,pop_family,0.7104,high_energy,0.6243839999999999,moderate_party,0.2465,electronic,0.8286,0.25930000000000003,0.3505,weekend_joyeux,weekend_fete,joyeux_fete,0.13793190476190473,diverse,0.19316046599022926,niche
6uFn47ACjqYkc0jADwEdj1,Polo G,Pop Out (feat. Lil Tjay),pop,weekend,chaud,cuisine,joyeux,amis,exterieur,119,0.779,0.819,0.797,0.553,0.185,0.081,0.213,8.5,moderee,positive,pop_family,0.6380009999999999,high_energy,0.620863,moderate_party,0.369,mixed,0.7964,0.343,0.44220000000000004,weekend_joyeux,weekend_cuisine,joyeux_cuisine,0.1045022857142857,balanced,0.2476512589252161,niche
6mSJEqkgiBMtqZSXSMvb4s,Big Boogie,Pop Out,pop,journee,chaud,sport,joyeux,groupe,salle_sport,132,0.737,0.95,0.679,0.752,0.038,0.114,0.215,7.9,moderee,positive,pop_family,0.7001499999999999,high_energy,0.5004230000000001,chill,0.395,mixed,0.7835000000000001,0.39110000000000006,0.4218,journee_joyeux,journee_sport,joyeux_sport,0.1329744761904762,diverse,0.29631717399473884,mainstream
4CMukSEsqFRKXuXXPWMxMY,BAK Jay,Pop Shii,pop,journee,neutre,conduite,motive,groupe,voiture,122,0.718,0.73,0.813,0.452,0.029,0.068,0.273,8.6,moderee,positive,pop_family,0.5241399999999999,moderate_energy,0.583734,moderate_party,0.24050000000000002,electronic,0.7501,0.2741,0.3365,journee_motive,journee_conduite,motive_conduite,0.10597495238095238,balanced,0.23881999248402855,niche
79s5XnCN4TJKTVMSmOx8Ep,Pop Smoke,Dior,pop,journee,chaud,sport,energique,groupe,exterieur,143,0.945,0.762,0.908,0.448,0.135,0.096,0.327,8.3,elevee,positive,pop_family,0.72009,high_energy,0.8580599999999999,high_party,0.2915,electronic,0.879,0.23620000000000005,0.38270000000000004,journee_energique,journee_sport,energique_sport,0.12668590476190475,diverse,0.2807215332581736,mainstream
43U1bCDTZAhhY1Y8mCkTG4,M / Robin Scott,Pop Muzik - 12 Inch Version,pop,journee,neutre,sport,motive,amis,exterieur,141,0.867,0.692,0.882,0.478,0.154,0.108,0.059,8.1,elevee,positive,pop_family,0.5999639999999999,moderate_energy,0.764694,high_party,0.316,electronic,0.819,0.2773,0.3988,journee_motive,journee_sport,motive_sport,0.12936080952380952,diverse,0.34272829763246904,very_popular
05KvLUwSFq3jAfNtFNFYBp,M / Robin Scott,Pop Muzik,pop,weekend,ensoleille,conduite,joyeux,amis,voiture,116,0.742,0.867,0.745,0.453,0.315,0.097,0.217,7.6,moderee,positive,pop_family,0.6433139999999999,high_energy,0.55279,chill,0.384,mixed,0.7804,0.3531000000000001,0.474,weekend_joyeux,weekend_conduite,joyeux_conduite,0.08860414285714285,balanced,0.21683577602405113,niche
57Pk2GU0ABFYBbbcgYxqki,Stephen Schwartz,"Popular - From ""Wicked"" Original Broadway Cast Recording/2003",pop,weekend,ensoleille,fete,joyeux,groupe,maison,123,0.722,0.876,0.825,0.615,0.286,0.048,0.308,7.9,moderee,positive,pop_family,0.632472,high_energy,0.5956499999999999,moderate_party,0.4505,organic,0.7990999999999999,0.4152,0.5179,weekend_joyeux,weekend_fete,joyeux_fete,0.09864090476190475,balanced,0.2055618188650883,niche
4myFsmx2v6znDOJfn3IkbD,Falling In Reverse,Popular Monster,pop,journee,chaud,cuisine,energique,couple,cafe,122,0.848,0.749,0.757,0.616,0.111,0.032,0.135,8.4,elevee,positive,pop_family,0.6351519999999999,high_energy,0.641936,moderate_party,0.3635,mixed,0.791,0.32530000000000003,0.43389999999999995,journee_energique,journee_cuisine,energique_cuisine,0.1261846666666667,diverse,0.19879744456971063,niche
4GssB27iJeqmfGxS94Tfij,Falling In Reverse,Popular Monster,pop,weekend,chaud,sport,joyeux,groupe,exterieur,133,0.715,0.95,0.758,0.543,0.124,0.035,0.13,8.1,moderee,positive,pop_family,0.6792499999999999,high_energy,0.54197,chill,0.3335,electronic,0.7984,0.33990000000000004,0.41790000000000005,weekend_joyeux,weekend_sport,joyeux_sport,0.133844,diverse,0.2842916196918452,mainstream
3Jv1XgMPVjdN5xGfnRJ20s,French Montana,Pop That,pop,apres_midi,neutre,cuisine,neutre,amis,cafe,132,0.636,0.774,0.608,0.489,0.299,0.068,0.279,8.0,faible,positive,pop_family,0.49226400000000003,low_energy,0.386688,chill,0.394,mixed,0.6689999999999999,0.39449999999999996,0.48260000000000003,apres_midi_neutre,apres_midi_cuisine,neutre_cuisine,0.06067028571428571,homogeneous,0.23769259676813229,niche
6EDO9iiTtwNv6waLwa1UUq,DJ Khaled,POPSTAR (feat. Drake),pop,journee,neutre,sport,motive,groupe,salle_sport,153,0.8,0.655,0.733,0.571,0.144,0.071,0.243,8.5,moderee,positive,pop_family,0.524,moderate_energy,0.5864,moderate_party,0.3575,mixed,0.7364,0.3316,0.4291,journee_motive,journee_sport,motive_sport,0.08978995238095239,balanced,0.3141676061630966,very_popular
