id,artiste,titre,genre,contexte_temporel,contexte_meteo,contexte_activite,contexte_emotionnel,contexte_social,contexte_lieu,bpm_estime,energie,valence,danceability,acousticness,instrumentalness,speechiness,liveness,notes
6z3HAUZpAyJ0ctsbAwAiw3,M / Robin Scott,Pop Muzik,pop,apres_midi,neutre,detente,romantique,couple,restaurant,124,0.657,0.752,0.615,0.747,0.19,0.1,0.058,8.2
6WzRpISELf3YglGAh7TXcG,The Weeknd,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),pop,weekend,chaud,cuisine,joyeux,famille,exterieur,116,0.826,0.884,0.715,0.342,0.169,0.106,0.059,8.4
3i8fIJNV0yuC4kXT3SkVBZ,Ariana Grande,Popular,pop,weekend,ensoleille,cuisine,joyeux,famille,exterieur,129,0.81,0.809,0.794,0.399,0.385,0.08,0.322,8.4
3j3SfV4hAcR4XjCvW393Gr,Playboi Carti,POP OUT,pop,weekend,ensoleille,fete,joyeux,amis,plage,122,0.768,0.925,0.813,0.418,0.075,0.062,0.171,8.1
6uFn47ACjqYkc0jADwEdj1,Polo G,Pop Out (feat. Lil Tjay),pop,weekend,chaud,cuisine,joyeux,amis,exterieur,119,0.779,0.819,0.797,0.553,0.185,0.081,0.213,8.5
6mSJEqkgiBMtqZSXSMvb4s,Big Boogie,Pop Out,pop,journee,chaud,sport,joyeux,groupe,salle_sport,132,0.737,0.95,0.679,0.752,0.038,0.114,0.215,7.9
4CMukSEsqFRKXuXXPWMxMY,BAK Jay,Pop Shii,pop,journee,neutre,conduite,motive,groupe,voiture,122,0.718,0.73,0.813,0.452,0.029,0.068,0.273,8.6
79s5XnCN4TJKTVMSmOx8Ep,Pop Smoke,Dior,pop,journee,chaud,sport,energique,groupe,exterieur,143,0.945,0.762,0.908,0.448,0.135,0.096,0.327,8.3
43U1bCDTZAhhY1Y8mCkTG4,M / Robin Scott,Pop Muzik - 12 Inch Version,pop,journee,neutre,sport,motive,amis,exterieur,141,0.867,0.692,0.882,0.478,0.154,0.108,0.059,8.1
05KvLUwSFq3jAfNtFNFYBp,M / Robin Scott,Pop Muzik,pop,weekend,ensoleille,conduite,joyeux,amis,voiture,116,0.742,0.867,0.745,0.453,0.315,0.097,0.217,7.6
57Pk2GU0ABFYBbbcgYxqki,Stephen Schwartz,"Popular - From ""Wicked"" Original Broadway Cast Recording/2003",pop,weekend,ensoleille,fete,joyeux,groupe,maison,123,0.722,0.876,0.825,0.615,0.286,0.048,0.308,7.9
4myFsmx2v6znDOJfn3IkbD,Falling In Reverse,Popular Monster,pop,journee,chaud,cuisine,energique,couple,cafe,122,0.848,0.749,0.757,0.616,0.111,0.032,0.135,8.4
4GssB27iJeqmfGxS94Tfij,Falling In Reverse,Popular Monster,pop,weekend,chaud,sport,joyeux,groupe,exterieur,133,0.715,0.95,0.758,0.543,0.124,0.035,0.13,8.1
3Jv1XgMPVjdN5xGfnRJ20s,French Montana,Pop That,pop,apres_midi,neutre,cuisine,neutre,amis,cafe,132,0.636,0.774,0.608,0.489,0.299,0.068,0.279,8.0
6EDO9iiTtwNv6waLwa1UUq,DJ Khaled,POPSTAR (feat. Drake),pop,journee,neutre,sport,motive,groupe,salle_sport,153,0.8,0.655,0.733,0.571,0.144,0.071,0.243,8.5
19UUPNx5jccGgQ2GCIZkww,Huey,"Pop, Lock & Drop It",pop,apres_midi,ensoleille,cuisine,neutre,amis,parc,127,0.685,0.835,0.69,0.475,0.014,0.086,0.075,7.7
26Fx8UbsC0BV4J1CdtuLAy,OsamaSon,Pop,pop,apres_midi,ensoleille,cuisine,neutre,groupe,exterieur,123,0.659,0.863,0.813,0.495,0.118,0.054,0.154,7.9
6rL8u0RmBmL1Mp5rK33tQA,Civ,1 AM,pop,journee,ensoleille,cuisine,energique,famille,exterieur,125,0.84,0.702,0.74,0.435,0.279,0.115,0.166,8.5
5LEXRVsTJ8vIAP7KNjKbIN,BAK Jay,Pop Shii,pop,weekend,chaud,sport,joyeux,amis,exterieur,131,0.758,0.931,0.748,0.673,0.236,0.069,0.275,7.8
5zd9TgduWbfFXwgnm3K3Rz,Three 6 Mafia,Poppin' My Collar (feat. Project Pat),pop,apres_midi,ensoleille,detente,romantique,couple,restaurant,128,0.602,0.827,0.59,0.729,0.176,0.088,0.232,7.7
3cIjeDpRUFiKU5tDXEY7Aw,Coco & Clair Clair,Pop Star,pop,weekend,chaud,sport,joyeux,groupe,salle_sport,150,0.828,0.822,0.81,0.492,0.218,0.037,0.068,7.9
7vGRXiYWFk6NjUnsNjQJQd,Chris Brown,Poppin' - Main,pop,journee,neutre,sport,motive,groupe,salle_sport,134,0.799,0.703,0.678,0.606,0.198,0.038,0.053,8.2
0fIffclhgJC5h8AdMMVvkp,Pop Smoke,Welcome To The Party,pop,apres_midi,chaud,cuisine,neutre,amis,exterieur,129,0.629,0.815,0.738,0.427,0.383,0.075,0.312,8.1
